item_desc|corp_item_brand_name|pim_item_class_desc|pim_item_sub_class_desc|state|flavor|pim_tasting_notes
-196 CKTL VOD A(DL/G/P) CAN 3/8PK|-196|COCKTAILS|COCKTAILS-OTHER|TX|OTHER|
-196 CKTL VOD PEACH 12 CAN 6/4PK|-196|COCKTAILS|COCKTAILS-OTHER|TX|PEACH|
-196 CKTL VOD DBL LEM 12 CAN 6/4PK|-196|COCKTAILS|COCKTAILS-OTHER|TX|LEMON|Fresh lemon peel. Tart and light sweet with characteristics of fresh lemon. Clean and mouthwatering finish.
-196 CKTL VOD GRFRUIT 12 CAN 6/4P|-196|COCKTAILS|COCKTAILS-OTHER|TX|GRAPEFRUIT|
10 CANE RUM 80|10 CANE|RUM|GOLD RUM|TX||
10 CANE RUM 80 W/2 GLS|10 CANE|RUM|GOLD RUM|TX||
SAUZA TEQ 100 ANOS BLANCO 80(OL)|100 ANOS|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
100 ANOS TEQ REPOSADO(MIXTO)80|100 ANOS|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Cooked agave with a hint of caramel and pepper
100 ANOS TEQ REPOSADO(100%AGAVE)80|100 ANOS|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
SAUZA TEQ 100 ANOS BLANCO 80(OL)|100 ANOS|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Nose: Cooked agave aroma
100 ANOS TEQ BLANCO(MIXTO)80|100 ANOS|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
SAUZA 100 ANOS TEQ BLNCO 80% DONOT|100 ANOS|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
SAUZA 100 ANOS TEQ VERDE - 100% AG|100 ANOS|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
100 ANOS TEQ ANEJO(100%AGAVE)80|100 ANOS|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||A pronounced nose of pear, cherry, and butter with apalate of jalapeno, fruit, and pepper.
100 ANOS TEQ BLANCO(100%AGAVE)80|100 ANOS|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Nose: Cooked agave aroma
100 ANOS TEQ BLANCO(100%AGAVE)80|100 ANOS|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Distinctive cooked agave taste, with hints of jasmine and rose
100 PIPERS SCOTCH 80|100 PIPERS|WHISKY-SCOTCH|BLENDED SCOTCH|TX||The Scotch is woody and fruity and medium in intensity, with a touch of peat oaky fragrance that creates an aromatic sweetness. It has a full and fruity nose with delicate honey and vanilla notes.
1792 BBN ASS(3E-SMB/1E-FP/SB/BIB)|1792|MIXED PACKAGE-SPIRITS|MIXED PACKAGE-ASSORTED SPIRITS|TX||
1792 BBN BOTTLED IN BOND(DEBBSLIQ)|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(POGOS)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SMALL BATCH(THRIFTY)93.7|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Complex nose with classic bourbon notes of smooth vanilla, sweet caramel and deep oak. On the palate, bold rye spice mingles with dark fruit and sweet caramel The finish is long and lingering, with hints of cocoa
1792 BBN SMALL BATCH(SPECS)93.7|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Complex nose with classic bourbon notes of smooth vanilla, sweet caramel and deep oak. On the palate, bold rye spice mingles with dark fruit and sweet caramel The finish is long and lingering, with hints of cocoa
1792 BBN FULL PROOF(DIABLO3174)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SMALL BATCH(ELIOS)93.7|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||
1792 BBN FULL PROOF 125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SMALL BATCH(ALAMO)93.7|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Complex nose with classic bourbon notes of smooth vanilla, sweet caramel and deep oak. On the palate, bold rye spice mingles with dark fruit and sweet caramel The finish is long and lingering, with hints of cocoa
1792 BBN FULL PROOF(8ROW FLINT)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(F CREEK)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN BOTTLED IN BOND(KILLENS)|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||
1792 BBN FULL PROOF BS(RAINBLD)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||
1792 BBN SINGLE BRL(MONTHEALD8430)|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN BOTTLED IN BOND(POGOS)100|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(MIRAGE)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SINGLE BRL(TRUE SPRT)98.6|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(DS LIQ)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(LIQ LAND)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SINGLE BRL(TOTAL)|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SMALL BATCH(WB)93.7|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Complex nose with classic bourbon notes of smooth vanilla, sweet caramel and deep oak. On the palate, bold rye spice mingles with dark fruit and sweet caramel The finish is long and lingering, with hints of cocoa
1792 BBN SINGLE BRL(JJLIQ)98.6|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(DEBBS LIQ)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(BOSSCAT)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN BIB BS(BLACKTIE)100|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||
1792 BBN SMALL BATCH(I45 BEV DEPO)|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Complex nose with classic bourbon notes of smooth vanilla, sweet caramel and deep oak. On the palate, bold rye spice mingles with dark fruit and sweet caramel The finish is long and lingering, with hints of cocoa
1792 BBN BOTTLEDINBOND(FOLSOM9039)|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||
